[2018-03-30 15:02:30,931] [INFO] 开加湿。
[2018-03-30 15:02:31,649] [INFO] 开加湿。
[2018-03-30 15:02:48,492] [INFO] 关加湿。
[2018-03-30 15:02:49,170] [INFO] 关加湿。
[2018-03-30 15:03:55,760] [INFO] 看啥事。
[2018-03-30 15:03:56,561] [INFO] 看啥事。
[2018-03-30 15:04:07,958] [INFO] 官家是。
[2018-03-30 15:04:08,649] [INFO] 官家是。
[2018-03-30 15:04:15,419] [INFO] 关。
[2018-03-30 15:04:38,239] [INFO] 太。
[2018-03-30 15:04:43,575] [INFO] 太。
[2018-03-30 15:04:44,294] [INFO] 太。
[2018-03-30 15:04:49,776] [INFO] 关。
[2018-03-30 15:04:55,208] [INFO] 开。
[2018-03-30 15:05:00,067] [INFO] 关。
[2018-03-30 15:05:04,059] [INFO] 嗯。
[2018-03-30 15:05:10,963] [INFO] 温度。
[2018-03-30 15:06:15,252] [INFO] 温度。
[2018-03-30 15:06:16,206] [INFO] 温度。
[2018-03-30 15:06:27,453] [INFO] 十度。
[2018-03-30 15:06:28,235] [INFO] 十度。
[2018-03-30 15:06:36,149] [INFO] 开家饰。
[2018-03-30 15:06:42,451] [INFO] 关嘉欣。
[2018-03-30 15:06:47,959] [INFO] 温度。
[2018-03-30 15:06:53,336] [INFO] 湿度。
[2018-03-30 15:07:00,848] [INFO] 现在温度是多少。
[2018-03-30 15:07:08,416] [INFO] 现在湿度是多少。
[2018-03-30 15:08:14,989] [INFO] 是多少。
[2018-03-30 15:08:23,746] [INFO] 现在温度是多少。
[2018-03-30 15:08:31,516] [INFO] 现在湿度是多少。
[2018-03-30 15:08:39,586] [INFO] 打开加湿器。
[2018-03-30 15:08:52,358] [INFO] 关闭干什。
[2018-03-30 15:09:07,116] [INFO] 那必将是自己一会儿再关闭监视器。
[2018-03-30 15:09:40,888] [INFO] 开b加湿器又在怪米家心切，一会儿再开机呀水器一会我开第一家谁去一会儿关好了？再见。
[2018-03-30 15:09:59,307] [INFO] 温度多少是赌博。
[2018-03-30 15:10:14,167] [INFO] 多少温度的。
[2018-03-30 15:10:27,624] [INFO] 干湿度是多少。
[2018-03-30 15:11:09,911] [INFO] 关闭教室吃。
[2018-03-30 15:11:32,636] [INFO] 打开消息。
[2018-03-30 15:11:39,671] [INFO] 关了吧！
[2018-03-30 15:11:45,361] [INFO] 打开吧！
[2018-03-30 15:11:51,992] [INFO] 关。
[2018-03-30 15:11:59,394] [INFO] 开。
[2018-03-30 15:12:47,043] [INFO] 关闭监视器。
[2018-03-30 15:12:53,514] [INFO] 打开加湿器。
[2018-03-30 15:13:01,139] [INFO] 哈喽！
[2018-03-30 15:13:07,092] [INFO] 零四。
[2018-03-30 15:13:13,381] [INFO] 不错嘛！
[2018-03-30 15:13:18,397] [INFO] 关了吧！
[2018-04-02 01:22:22,767] [INFO] 温度
[2018-04-02 01:22:25,722] [INFO] 温度
[2018-04-02 01:22:26,458] [INFO] 温度
[2018-04-02 01:22:31,957] [INFO] 湿度
[2018-04-02 01:22:37,298] [INFO] 开加湿
[2018-04-02 01:22:43,748] [INFO] 关加湿
[2018-04-02 01:22:55,155] [INFO] 
[2018-04-02 01:23:08,247] [INFO] 
